K	d	N	Method	TruePerf	alpha	bandwidth
1000	10	10	FullInfo	0.8868837127079899	0.0	-1.0
1000	10	10	SAA	0.959968517179726	0.0	-1.0
1000	10	10	S-SAA	0.959968517179726	0.0	-1.0
1000	10	10	NW	1.1586802610475575	0.0	0.060404040404040404
1000	10	10	HS-NW	0.9337331820196901	3.0303030303030303	0.060404040404040404
1000	10	10	NWbar	0.99673445245929	0.0	0.7156565656565657
1000	10	10	S-NW	0.9330113362610643	2.0202020202020203	0.6148484848484849
1000	10	10	SAA	0.9983517891229583	0.0	-1.0
1000	10	10	S-SAA	0.9983517891229583	0.0	-1.0
1000	10	10	NW	1.0185546659141966	0.0	0.01
1000	10	10	HS-NW	0.9852716971358652	4.040404040404041	0.01
1000	10	10	NWbar	0.9636819940962186	0.0	0.6652525252525252
1000	10	10	S-NW	0.9631363095676394	3.0303030303030303	0.36282828282828283
1000	10	10	SAA	1.00668697739683	0.0	-1.0
1000	10	10	S-SAA	1.00668697739683	0.0	-1.0
1000	10	10	NW	1.0389833054034752	0.0	0.01
1000	10	10	HS-NW	0.995507385980951	1.0101010101010102	0.01
1000	10	10	NWbar	0.9714823698038618	0.0	0.6652525252525252
1000	10	10	S-NW	0.961762253255155	3.0303030303030303	2.9838383838383837
1000	10	10	SAA	0.9922822965538985	0.0	-1.0
1000	10	10	S-SAA	0.9886324628136753	1.0101010101010102	-1.0
1000	10	10	NW	1.0595323814492983	0.0	0.01
1000	10	10	HS-NW	0.9826487335832793	1.0101010101010102	0.01
1000	10	10	NWbar	0.9652214541411891	0.0	0.6652525252525252
1000	10	10	S-NW	0.9541353932121881	2.0202020202020203	0.21161616161616162
1000	10	10	SAA	0.9898291204657279	0.0	-1.0
1000	10	10	S-SAA	0.9758002381951016	1.0101010101010102	-1.0
1000	10	10	NW	1.0413766206999822	0.0	0.01
1000	10	10	HS-NW	0.9776323979300182	1.0101010101010102	0.01
1000	10	10	NWbar	0.9727410399942191	0.0	0.6652525252525252
1000	10	10	S-NW	0.9635407470182398	2.0202020202020203	0.26202020202020204
1000	10	10	SAA	1.0020197171428475	0.0	-1.0
1000	10	10	S-SAA	0.9981841728852295	1.0101010101010102	-1.0
1000	10	10	NW	1.033994359195854	0.0	0.01
1000	10	10	HS-NW	0.9882049938019464	7.070707070707071	0.01
1000	10	10	NWbar	0.9835140741304241	0.0	0.6148484848484849
1000	10	10	S-NW	0.97115190813241	3.0303030303030303	0.36282828282828283
1000	10	10	SAA	0.9857305634929979	0.0	-1.0
1000	10	10	S-SAA	0.9754330597049503	1.0101010101010102	-1.0
1000	10	10	NW	1.0128658571073226	0.0	0.01
1000	10	10	HS-NW	0.9598190227012803	5.05050505050505	0.01
1000	10	10	NWbar	0.9705459478181435	0.0	0.6652525252525252
1000	10	10	S-NW	0.9582089005374353	4.040404040404041	0.16121212121212122
1000	10	10	SAA	0.9836133388752357	0.0	-1.0
1000	10	10	S-SAA	0.9836133388752357	0.0	-1.0
1000	10	10	NW	1.0513189550955895	0.0	0.01
1000	10	10	HS-NW	0.9806671619069834	2.0202020202020203	0.01
1000	10	10	NWbar	1.026909971581296	0.0	0.7156565656565657
1000	10	10	S-NW	0.968560398967311	2.0202020202020203	4.445555555555556
1000	10	10	SAA	0.9982033134492253	0.0	-1.0
1000	10	10	S-SAA	0.9763389538600916	1.0101010101010102	-1.0
1000	10	10	NW	1.1771541105679664	0.0	0.060404040404040404
1000	10	10	HS-NW	0.9746970287939295	3.0303030303030303	0.060404040404040404
1000	10	10	NWbar	1.053474919824802	0.0	0.7660606060606061
1000	10	10	S-NW	0.9602212427710415	2.0202020202020203	0.8668686868686869
1000	10	10	SAA	1.0097399937115406	0.0	-1.0
1000	10	10	S-SAA	0.9892125437753272	1.0101010101010102	-1.0
1000	10	10	NW	1.0274275892721259	0.0	0.01
1000	10	10	HS-NW	0.9764796090183784	6.0606060606060606	0.01
1000	10	10	NWbar	0.9728101272227354	0.0	0.6652525252525252
1000	10	10	S-NW	0.9549467060204111	4.040404040404041	0.4636363636363636
1000	10	10	SAA	1.0006877674272014	0.0	-1.0
1000	10	10	S-SAA	0.9770478953841114	1.0101010101010102	-1.0
1000	10	10	NW	1.0503445083957161	0.0	0.01
1000	10	10	HS-NW	0.9640334661770987	2.0202020202020203	0.01
1000	10	10	NWbar	0.9693369006441412	0.0	0.6652525252525252
1000	10	10	S-NW	0.9376300884525532	1.0101010101010102	4.445555555555556
1000	10	10	SAA	0.9764249205232112	0.0	-1.0
1000	10	10	S-SAA	0.9585028143613524	1.0101010101010102	-1.0
1000	10	10	NW	1.0080429413304344	0.0	0.01
1000	10	10	HS-NW	0.9519984392088027	4.040404040404041	0.01
1000	10	10	NWbar	0.9495949076724574	0.0	0.6148484848484849
1000	10	10	S-NW	0.9443351081845066	2.0202020202020203	0.11080808080808081
1000	10	10	SAA	0.9700230325718898	0.0	-1.0
1000	10	10	S-SAA	0.9577702643782002	1.0101010101010102	-1.0
1000	10	10	NW	1.0188943617159563	0.0	0.01
1000	10	10	HS-NW	0.9575715871794621	9.090909090909092	0.01
1000	10	10	NWbar	0.9569320354847966	0.0	0.6652525252525252
1000	10	10	S-NW	0.940993671397423	2.0202020202020203	3.5382828282828283
1000	10	10	SAA	1.0103926248579957	0.0	-1.0
1000	10	10	S-SAA	0.9951737267100532	1.0101010101010102	-1.0
1000	10	10	NW	1.0345364567389934	0.0	0.01
1000	10	10	HS-NW	0.9842960552586876	3.0303030303030303	0.01
1000	10	10	NWbar	0.9784497909172485	0.0	0.6652525252525252
1000	10	10	S-NW	0.9682460790175671	2.0202020202020203	1.2196969696969697
1000	10	10	SAA	1.0123088724259413	0.0	-1.0
1000	10	10	S-SAA	0.9913134140280013	1.0101010101010102	-1.0
1000	10	10	NW	1.0535753393495428	0.0	0.01
1000	10	10	HS-NW	1.001054411279255	4.040404040404041	0.01
1000	10	10	NWbar	1.0287476535743931	0.0	0.7156565656565657
1000	10	10	S-NW	0.9744865029598345	3.0303030303030303	3.991919191919192
1000	10	10	SAA	1.0010400700112114	0.0	-1.0
1000	10	10	S-SAA	1.0005573991728518	1.0101010101010102	-1.0
1000	10	10	NW	1.0414636487722826	0.0	0.01
1000	10	10	HS-NW	0.9645333959283156	3.0303030303030303	0.01
1000	10	10	NWbar	0.9629972012967902	0.0	0.6652525252525252
1000	10	10	S-NW	0.9529798386362046	4.040404040404041	0.8668686868686869
1000	10	10	SAA	0.9925747256947332	0.0	-1.0
1000	10	10	S-SAA	0.9925747256947332	0.0	-1.0
1000	10	10	NW	1.0568814161254652	0.0	0.01
1000	10	10	HS-NW	0.9768495938015872	4.040404040404041	0.01
1000	10	10	NWbar	0.9919369202925021	0.0	0.01
1000	10	10	S-NW	0.971208468719537	3.0303030303030303	3.9415151515151514
1000	10	10	SAA	1.0054182994632064	0.0	-1.0
1000	10	10	S-SAA	0.9963772122293748	1.0101010101010102	-1.0
1000	10	10	NW	1.0413369268914483	0.0	0.01
1000	10	10	HS-NW	0.9865951489091961	3.0303030303030303	0.01
1000	10	10	NWbar	0.985727541815717	0.0	0.6652525252525252
1000	10	10	S-NW	0.9752890768793506	2.0202020202020203	4.344747474747475
1000	10	10	SAA	1.0080241000651868	0.0	-1.0
1000	10	10	S-SAA	0.9913524706353783	1.0101010101010102	-1.0
1000	10	10	NW	1.0467683466009035	0.0	0.01
1000	10	10	HS-NW	1.0080241000651868	0.0	0.01
1000	10	10	NWbar	0.9814077309203303	0.0	0.6652525252525252
1000	10	10	S-NW	0.9545195018098434	2.0202020202020203	1.4213131313131313
1000	10	10	SAA	1.025133560884932	0.0	-1.0
1000	10	10	S-SAA	1.0178453725117285	1.0101010101010102	-1.0
1000	10	10	NW	1.033380449090895	0.0	0.01
1000	10	10	HS-NW	0.9707996759873027	3.0303030303030303	0.01
1000	10	10	NWbar	0.9677963323673723	0.0	0.6652525252525252
1000	10	10	S-NW	0.9536797003154941	3.0303030303030303	1.4213131313131313
1000	10	10	SAA	1.031733843755561	0.0	-1.0
1000	10	10	S-SAA	1.0142099689473978	1.0101010101010102	-1.0
1000	10	10	NW	1.1618040869896107	0.0	0.060404040404040404
1000	10	10	HS-NW	0.998808497235496	10.1010101010101	0.060404040404040404
1000	10	10	NWbar	1.0623917805739864	0.0	0.8164646464646464
1000	10	10	S-NW	0.967134016198946	5.05050505050505	1.7741414141414142
1000	10	10	SAA	1.0019342388569004	0.0	-1.0
1000	10	10	S-SAA	1.0008714752516836	1.0101010101010102	-1.0
1000	10	10	NW	1.0220403926042603	0.0	0.01
1000	10	10	HS-NW	0.9849753018421845	3.0303030303030303	0.01
1000	10	10	NWbar	1.0123323696997504	0.0	0.7156565656565657
1000	10	10	S-NW	0.9552976348179185	2.0202020202020203	1.4717171717171718
1000	10	10	SAA	1.0195352290233628	0.0	-1.0
1000	10	10	S-SAA	1.0171744641081957	1.0101010101010102	-1.0
1000	10	10	NW	1.1273835201856115	0.0	0.060404040404040404
1000	10	10	HS-NW	0.9658044452667364	2.0202020202020203	0.060404040404040404
1000	10	10	NWbar	0.9665143150562481	0.0	0.6652525252525252
1000	10	10	S-NW	0.9578957188356387	2.0202020202020203	0.16121212121212122
1000	10	10	SAA	1.017679554135274	0.0	-1.0
1000	10	10	S-SAA	1.0098727758345878	1.0101010101010102	-1.0
1000	10	10	NW	1.0486800703303856	0.0	0.01
1000	10	10	HS-NW	1.0100056951763376	3.0303030303030303	0.01
1000	10	10	NWbar	1.0224759053305297	0.0	0.7156565656565657
1000	10	10	S-NW	0.9594623024646486	4.040404040404041	0.31242424242424244
1000	10	10	SAA	1.0516865022122617	0.0	-1.0
1000	10	10	S-SAA	1.024094537628048	1.0101010101010102	-1.0
1000	10	10	NW	1.0314540728575434	0.0	0.01
1000	10	10	HS-NW	0.9929329187114561	5.05050505050505	0.01
1000	10	10	NWbar	0.9870524979870496	0.0	0.6652525252525252
1000	10	10	S-NW	0.9672364701016993	6.0606060606060606	0.060404040404040404
1000	10	10	SAA	0.980725091317086	0.0	-1.0
1000	10	10	S-SAA	0.962085081089815	1.0101010101010102	-1.0
1000	10	10	NW	1.0263372395640349	0.0	0.01
1000	10	10	HS-NW	0.9735017475547683	1.0101010101010102	0.01
1000	10	10	NWbar	0.9470190871090487	0.0	0.6652525252525252
1000	10	10	S-NW	0.9444413008300065	1.0101010101010102	0.21161616161616162
1000	10	10	SAA	0.9780605385238426	0.0	-1.0
1000	10	10	S-SAA	0.9780605385238426	0.0	-1.0
1000	10	10	NW	1.0197594614763608	0.0	0.01
1000	10	10	HS-NW	0.9698698454267355	12.121212121212121	0.01
1000	10	10	NWbar	0.9752989961538597	0.0	0.5644444444444444
1000	10	10	S-NW	0.9643414964897546	2.0202020202020203	0.060404040404040404
1000	10	10	SAA	1.0565888038095168	0.0	-1.0
1000	10	10	S-SAA	1.0140541275050028	1.0101010101010102	-1.0
1000	10	10	NW	1.0669582100700468	0.0	0.01
1000	10	10	HS-NW	1.009159733234066	5.05050505050505	0.01
1000	10	10	NWbar	0.9857930251627706	0.0	0.6652525252525252
1000	10	10	S-NW	0.9734492959755248	5.05050505050505	0.11080808080808081
1000	10	10	SAA	1.0410837395384274	0.0	-1.0
1000	10	10	S-SAA	1.0189899469505153	1.0101010101010102	-1.0
1000	10	10	NW	1.0696909289762595	0.0	0.01
1000	10	10	HS-NW	1.008516916739954	6.0606060606060606	0.01
1000	10	10	NWbar	1.0271640568676368	0.0	0.7156565656565657
