K	d	N	Method	TruePerf	alpha	bandwidth
1000	10	10	FullInfo	1.2745214387969115	0.0	-1.0
1000	10	10	SAA	1.4684690838574743	0.0	-1.0
1000	10	10	S-SAA	1.459844589817891	1.0101010101010102	-1.0
1000	10	10	NW	3.423464553155352	0.0	0.01
1000	10	10	HS-NW	1.454379450651235	1.0101010101010102	0.01
1000	10	10	NWbar	1.4553165421522578	0.0	0.5140404040404041
1000	10	10	S-NW	1.454379450651235	1.0101010101010102	0.01
1000	10	10	SAA	1.4224445597875641	0.0	-1.0
1000	10	10	S-SAA	1.4224445597875641	0.0	-1.0
1000	10	10	NW	3.409447797471022	0.0	0.01
1000	10	10	HS-NW	1.4224445597875641	0.0	0.01
1000	10	10	NWbar	2.167565809874568	0.0	0.5644444444444444
1000	10	10	S-NW	1.4224445597875641	0.0	0.01
1000	10	10	SAA	1.4508374046004817	0.0	-1.0
1000	10	10	S-SAA	1.4508374046004817	0.0	-1.0
1000	10	10	NW	3.435889643815017	0.0	0.01
1000	10	10	HS-NW	1.4508374046004817	0.0	0.01
1000	10	10	NWbar	1.4463420446285924	0.0	0.4636363636363636
1000	10	10	S-NW	1.4508374046004817	0.0	0.01
1000	10	10	SAA	1.416293942474529	0.0	-1.0
1000	10	10	S-SAA	1.416293942474529	0.0	-1.0
1000	10	10	NW	3.389525311719695	0.0	0.01
1000	10	10	HS-NW	1.416293942474529	0.0	0.01
1000	10	10	NWbar	2.16947571529428	0.0	0.5644444444444444
1000	10	10	S-NW	1.416293942474529	0.0	0.01
1000	10	10	SAA	1.5121186687447001	0.0	-1.0
1000	10	10	S-SAA	1.4883785274806378	1.0101010101010102	-1.0
1000	10	10	NW	3.4277016763127475	0.0	0.01
1000	10	10	HS-NW	1.4949931337652018	1.0101010101010102	0.01
1000	10	10	NWbar	2.9341565954588433	0.0	0.6148484848484849
1000	10	10	S-NW	1.4824747430090481	1.0101010101010102	0.41323232323232323
1000	10	10	SAA	1.389189149703132	0.0	-1.0
1000	10	10	S-SAA	1.389189149703132	0.0	-1.0
1000	10	10	NW	3.424185790933402	0.0	0.01
1000	10	10	HS-NW	1.389189149703132	0.0	0.01
1000	10	10	NWbar	1.389189149703132	0.0	0.01
1000	10	10	S-NW	1.389189149703132	0.0	0.01
1000	10	10	SAA	1.4352927873134615	0.0	-1.0
1000	10	10	S-SAA	1.4344919736085888	1.0101010101010102	-1.0
1000	10	10	NW	3.396530634025228	0.0	0.01
1000	10	10	HS-NW	1.4341204235076308	1.0101010101010102	0.01
1000	10	10	NWbar	1.4329548913265662	0.0	0.5140404040404041
1000	10	10	S-NW	1.4283629703624636	1.0101010101010102	0.060404040404040404
1000	10	10	SAA	1.4079684934596646	0.0	-1.0
1000	10	10	S-SAA	1.4079684934596646	0.0	-1.0
1000	10	10	NW	3.4109153015419	0.0	0.01
1000	10	10	HS-NW	1.406381817773648	1.0101010101010102	0.01
1000	10	10	NWbar	2.1771744788751515	0.0	0.5644444444444444
1000	10	10	S-NW	1.406381817773648	1.0101010101010102	0.01
1000	10	10	SAA	1.437140085156748	0.0	-1.0
