K	d	N	Method	TruePerf	alpha	bandwidth
1000	10	10	FullInfo	0.8166578454600896	0.0	-1.0
1000	10	10	SAA	0.9427234282153717	0.0	-1.0
1000	10	10	S-SAA	0.926263955005203	1.0101010101010102	-1.0
1000	10	10	NW	0.9090734710209609	0.0	0.01
1000	10	10	HS-NW	0.9037010696518972	26.262626262626263	0.01
1000	10	10	NWbar	0.8870035023562763	0.0	0.6652525252525252
1000	10	10	S-NW	0.8884155571417047	4.040404040404041	1.3709090909090909
1000	10	10	SAA	0.9013312226446429	0.0	-1.0
1000	10	10	S-SAA	0.9013312226446429	0.0	-1.0
1000	10	10	NW	0.9216191499777764	0.0	0.01
1000	10	10	HS-NW	0.8910915200920974	10.1010101010101	0.01
1000	10	10	NWbar	0.8762620888514127	0.0	0.6652525252525252
1000	10	10	S-NW	0.8688726129990519	6.0606060606060606	0.41323232323232323
1000	10	10	SAA	0.9092265264914432	0.0	-1.0
1000	10	10	S-SAA	0.9051853146067391	1.0101010101010102	-1.0
1000	10	10	NW	0.9095799896961347	0.0	0.01
1000	10	10	HS-NW	0.8849286400023042	8.080808080808081	0.01
1000	10	10	NWbar	0.879093983712157	0.0	0.6652525252525252
1000	10	10	S-NW	0.8686567702803021	4.040404040404041	0.21161616161616162
1000	10	10	SAA	0.9382523818370785	0.0	-1.0
1000	10	10	S-SAA	0.9116938136306715	1.0101010101010102	-1.0
1000	10	10	NW	0.9327701899390345	0.0	0.01
1000	10	10	HS-NW	0.900752256764253	12.121212121212121	0.01
1000	10	10	NWbar	0.8917812676355897	0.0	0.6148484848484849
1000	10	10	S-NW	0.8772799571769183	4.040404040404041	0.5644444444444444
1000	10	10	SAA	0.8944524670960347	0.0	-1.0
1000	10	10	S-SAA	0.8944524670960347	0.0	-1.0
1000	10	10	NW	0.8985363793556204	0.0	0.01
1000	10	10	HS-NW	0.8790876200747256	4.040404040404041	0.01
1000	10	10	NWbar	0.8642749594683197	0.0	0.6652525252525252
1000	10	10	S-NW	0.8593654684861826	4.040404040404041	1.4213131313131313
1000	10	10	SAA	0.9167561571621169	0.0	-1.0
1000	10	10	S-SAA	0.9167561571621169	0.0	-1.0
1000	10	10	NW	0.9523150211061105	0.0	0.060404040404040404
1000	10	10	HS-NW	0.8919000481977178	6.0606060606060606	0.060404040404040404
1000	10	10	NWbar	0.9078467577289789	0.0	0.7156565656565657
1000	10	10	S-NW	0.8850251614371302	4.040404040404041	0.7156565656565657
1000	10	10	SAA	0.9070060537699489	0.0	-1.0
1000	10	10	S-SAA	0.9070060537699489	0.0	-1.0
1000	10	10	NW	0.9154375376251818	0.0	0.01
1000	10	10	HS-NW	0.8835485256008849	6.0606060606060606	0.01
1000	10	10	NWbar	0.8713357741582408	0.0	0.6148484848484849
1000	10	10	S-NW	0.8593506114606466	5.05050505050505	0.21161616161616162
1000	10	10	SAA	0.9416473506071894	0.0	-1.0
1000	10	10	S-SAA	0.9416473506071894	0.0	-1.0
1000	10	10	NW	0.9450679160017791	0.0	0.01
1000	10	10	HS-NW	0.9306393610340334	7.070707070707071	0.01
1000	10	10	NWbar	0.885754487889946	0.0	0.7156565656565657
1000	10	10	S-NW	0.8705030477396826	4.040404040404041	0.6652525252525252
1000	10	10	SAA	0.9305730885343992	0.0	-1.0
1000	10	10	S-SAA	0.9267482508821389	1.0101010101010102	-1.0
1000	10	10	NW	0.9334042569594134	0.0	0.01
1000	10	10	HS-NW	0.9090452844899987	28.282828282828284	0.01
1000	10	10	NWbar	0.8845107520002299	0.0	0.6652525252525252
1000	10	10	S-NW	0.8794017717218491	5.05050505050505	0.31242424242424244
1000	10	10	SAA	0.9218945156635372	0.0	-1.0
1000	10	10	S-SAA	0.9173451646783548	1.0101010101010102	-1.0
1000	10	10	NW	0.9222488339205261	0.0	0.01
1000	10	10	HS-NW	0.9077337027111986	18.181818181818183	0.01
1000	10	10	NWbar	0.9042514327573262	0.0	0.6148484848484849
1000	10	10	S-NW	0.8798720241445848	6.0606060606060606	1.7741414141414142
1000	10	10	SAA	0.9043438079077204	0.0	-1.0
1000	10	10	S-SAA	0.9043438079077204	0.0	-1.0
1000	10	10	NW	0.9045861144705649	0.0	0.01
1000	10	10	HS-NW	0.8950197916134595	12.121212121212121	0.01
1000	10	10	NWbar	0.9291812718055888	0.0	0.8164646464646464
1000	10	10	S-NW	0.8797922959476945	3.0303030303030303	2.53020202020202
1000	10	10	SAA	0.9252369570501469	0.0	-1.0
1000	10	10	S-SAA	0.9252369570501469	0.0	-1.0
1000	10	10	NW	0.9255998511686306	0.0	0.01
1000	10	10	HS-NW	0.891578324917643	12.121212121212121	0.01
1000	10	10	NWbar	0.9151553848523968	0.0	0.7156565656565657
1000	10	10	S-NW	0.891578324917643	12.121212121212121	0.01
1000	10	10	SAA	0.9411557540152342	0.0	-1.0
1000	10	10	S-SAA	0.9411557540152342	0.0	-1.0
1000	10	10	NW	0.9469914595476939	0.0	0.01
1000	10	10	HS-NW	0.9196411714811478	6.0606060606060606	0.01
1000	10	10	NWbar	0.9066282599234338	0.0	0.6148484848484849
1000	10	10	S-NW	0.8744749734882433	12.121212121212121	0.11080808080808081
1000	10	10	SAA	0.9002960581348224	0.0	-1.0
1000	10	10	S-SAA	0.8991572684781064	1.0101010101010102	-1.0
