K	d	N	Method	TruePerf	alpha	bandwidth
1000	10	10	SAA	1.803545830421142	0.0	-1.0
1000	10	10	S-SAA	1.740523396004331	1.0101010101010102	-1.0
1000	10	10	NW	2.048220982079093	0.0	0.01
1000	10	10	HS-NW	1.744412953419449	2.0202020202020203	0.01
1000	10	10	NWbar	1.9594539179294943	0.0	0.6652525252525252
1000	10	10	S-NW	1.7419154880342005	1.0101010101010102	4.042323232323232
1000	10	10	SAA	1.7895816191408718	0.0	-1.0
1000	10	10	S-SAA	1.7637042075841736	1.0101010101010102	-1.0
1000	10	10	NW	2.0329869944701224	0.0	0.01
1000	10	10	HS-NW	1.7581048375809156	1.0101010101010102	0.01
1000	10	10	NWbar	1.770517209744864	0.0	0.5140404040404041
1000	10	10	S-NW	1.7349348659474673	2.0202020202020203	0.060404040404040404
1000	10	10	SAA	1.8140354936631606	0.0	-1.0
1000	10	10	S-SAA	1.762476016430749	1.0101010101010102	-1.0
1000	10	10	NW	2.0086815832480642	0.0	0.01
1000	10	10	HS-NW	1.7376792107447852	2.0202020202020203	0.01
1000	10	10	NWbar	1.8418966171110986	0.0	0.6148484848484849
1000	10	10	S-NW	1.7376792107447852	2.0202020202020203	0.01
1000	10	10	SAA	1.7099536594025313	0.0	-1.0
1000	10	10	S-SAA	1.7099536594025313	0.0	-1.0
1000	10	10	NW	2.0216303646587406	0.0	0.01
1000	10	10	HS-NW	1.7099536594025313	0.0	0.01
1000	10	10	NWbar	1.9454810080640452	0.0	0.6652525252525252
1000	10	10	S-NW	1.7014525201772916	1.0101010101010102	0.9172727272727272
1000	10	10	SAA	1.7211578607905678	0.0	-1.0
1000	10	10	S-SAA	1.7211578607905678	0.0	-1.0
1000	10	10	NW	2.026353870352454	0.0	0.01
1000	10	10	HS-NW	1.7211578607905678	0.0	0.01
1000	10	10	NWbar	1.9724093973604555	0.0	0.6652525252525252
1000	10	10	S-NW	1.7055540317523479	1.0101010101010102	1.0684848484848486
1000	10	10	SAA	1.8009327789416336	0.0	-1.0
1000	10	10	S-SAA	1.750816998189599	1.0101010101010102	-1.0
