K	d	N	Method	TruePerf	alpha	bandwidth
1000	10	10	HS-NW	2.3231863054064315	1.0101010101010102	2.026161616161616
1000	10	10	NWbar	2.7255837507198573	0.0	0.5140404040404041
1000	10	10	S-NW	2.3231863054064315	1.0101010101010102	0.01
1000	10	10	SAA	2.396845575936675	0.0	-1.0
1000	10	10	S-SAA	2.338183998697837	1.0101010101010102	-1.0
1000	10	10	NW	4.1880061570646125	0.0	0.21161616161616162
1000	10	10	HS-NW	2.338183998697837	1.0101010101010102	0.21161616161616162
1000	10	10	NWbar	2.7296092710655953	0.0	0.5140404040404041
1000	10	10	S-NW	2.338183998697837	1.0101010101010102	0.01
1000	10	10	SAA	2.359406240606767	0.0	-1.0
1000	10	10	S-SAA	2.3313281246255153	1.0101010101010102	-1.0
1000	10	10	NW	4.1880061570646125	0.0	0.21161616161616162
1000	10	10	HS-NW	2.3313281246255153	1.0101010101010102	0.21161616161616162
1000	10	10	NWbar	2.7237220512213387	0.0	0.5140404040404041
1000	10	10	S-NW	2.3313281246255153	1.0101010101010102	0.01
1000	10	10	SAA	2.333556143720692	0.0	-1.0
1000	10	10	S-SAA	2.328067945912297	1.0101010101010102	-1.0
1000	10	10	NW	4.1880061570646125	0.0	2.026161616161616
1000	10	10	HS-NW	2.328067945912297	1.0101010101010102	2.026161616161616
1000	10	10	NWbar	2.3251137440338283	0.0	0.4636363636363636
1000	10	10	S-NW	2.328067945912297	1.0101010101010102	0.01
1000	10	10	SAA	2.318838998961052	0.0	-1.0
1000	10	10	S-SAA	2.2996395414565973	1.0101010101010102	-1.0
1000	10	10	NW	4.1880061570646125	0.0	0.9172727272727272
1000	10	10	HS-NW	2.2996395414565973	1.0101010101010102	0.9172727272727272
1000	10	10	NWbar	2.318838998961052	0.0	0.01
1000	10	10	S-NW	2.2996395414565973	1.0101010101010102	0.01
1000	10	10	SAA	2.322442378540457	0.0	-1.0
1000	10	10	S-SAA	2.315393179845086	1.0101010101010102	-1.0
1000	10	10	NW	4.1880061570646125	0.0	2.026161616161616
1000	10	10	HS-NW	2.315393179845086	1.0101010101010102	2.026161616161616
1000	10	10	NWbar	2.7464667820079045	0.0	0.5140404040404041
1000	10	10	S-NW	2.315393179845086	1.0101010101010102	0.01
1000	10	10	SAA	2.3709367748402963	0.0	-1.0
1000	10	10	S-SAA	2.3437662578174216	1.0101010101010102	-1.0
1000	10	10	NW	4.1880061570646125	0.0	0.9172727272727272
1000	10	10	HS-NW	2.3437662578174216	1.0101010101010102	0.9172727272727272
1000	10	10	NWbar	2.3439240191649864	0.0	0.4636363636363636
1000	10	10	S-NW	2.3437662578174216	1.0101010101010102	0.01
1000	10	10	SAA	2.368841394420524	0.0	-1.0
1000	10	10	S-SAA	2.352870015661778	1.0101010101010102	-1.0
1000	10	10	NW	4.1880061570646125	0.0	0.21161616161616162
1000	10	10	HS-NW	2.352870015661778	1.0101010101010102	0.21161616161616162
1000	10	10	NWbar	2.742686665451904	0.0	0.5140404040404041
1000	10	10	S-NW	2.352870015661778	1.0101010101010102	0.01
1000	10	10	SAA	2.2803012498619717	0.0	-1.0
1000	10	10	S-SAA	2.2639268709499927	1.0101010101010102	-1.0
1000	10	10	NW	4.1880061570646125	0.0	2.026161616161616
1000	10	10	HS-NW	2.2639268709499927	1.0101010101010102	2.026161616161616
1000	10	10	NWbar	2.2713248511058346	0.0	0.4636363636363636
1000	10	10	S-NW	2.2639268709499927	1.0101010101010102	0.01
1000	10	10	SAA	2.389552222830158	0.0	-1.0
1000	10	10	S-SAA	2.3596887561389956	1.0101010101010102	-1.0
1000	10	10	NW	4.1880061570646125	0.0	0.21161616161616162
1000	10	10	HS-NW	2.3596887561389956	1.0101010101010102	0.21161616161616162
1000	10	10	NWbar	2.7468381448768757	0.0	0.5140404040404041
1000	10	10	S-NW	2.3596887561389956	1.0101010101010102	0.01
1000	10	10	SAA	2.4014729429916395	0.0	-1.0
1000	10	10	S-SAA	2.36576626846048	1.0101010101010102	-1.0
1000	10	10	NW	4.1880061570646125	0.0	0.9172727272727272
1000	10	10	HS-NW	2.36576626846048	1.0101010101010102	0.9172727272727272
1000	10	10	NWbar	2.74207499306261	0.0	0.5140404040404041
1000	10	10	S-NW	2.36576626846048	1.0101010101010102	0.01
1000	10	10	SAA	2.3592097553912965	0.0	-1.0
1000	10	10	S-SAA	2.3540851696518095	1.0101010101010102	-1.0
