K	d	N	Method	TruePerf	alpha	bandwidth
1000	10	10	FullInfo	0.8458646024911525	0.0	-1.0
1000	10	10	SAA	0.9493352992616432	0.0	-1.0
1000	10	10	S-SAA	0.9462850695782191	1.0101010101010102	-1.0
1000	10	10	NW	0.9757091218152275	0.0	0.01
1000	10	10	HS-NW	0.9405805509622877	3.0303030303030303	0.01
1000	10	10	NWbar	1.032797444648475	0.0	1.0180808080808081
1000	10	10	S-NW	0.9228098642815764	3.0303030303030303	0.7156565656565657
1000	10	10	SAA	0.9544216224805334	0.0	-1.0
1000	10	10	S-SAA	0.9332924557056714	1.0101010101010102	-1.0
1000	10	10	NW	0.9625915137029941	0.0	0.01
1000	10	10	HS-NW	0.942560323882926	12.121212121212121	0.01
1000	10	10	NWbar	0.9308304239971817	0.0	0.6652525252525252
1000	10	10	S-NW	0.9162415073613509	3.0303030303030303	2.0765656565656565
1000	10	10	SAA	0.9174781030193234	0.0	-1.0
1000	10	10	S-SAA	0.9174781030193234	0.0	-1.0
1000	10	10	NW	1.0147260650419097	0.0	0.060404040404040404
1000	10	10	HS-NW	0.9084865712883999	5.05050505050505	0.060404040404040404
1000	10	10	NWbar	0.9164564391637005	0.0	0.6652525252525252
1000	10	10	S-NW	0.9019727116495809	3.0303030303030303	0.26202020202020204
1000	10	10	SAA	0.977998102811685	0.0	-1.0
1000	10	10	S-SAA	0.9716793104173846	1.0101010101010102	-1.0
1000	10	10	NW	0.9920512144685725	0.0	0.01
1000	10	10	HS-NW	0.9545172272406584	7.070707070707071	0.01
1000	10	10	NWbar	0.9364522245753422	0.0	0.7156565656565657
1000	10	10	S-NW	0.9164081858935086	4.040404040404041	0.5140404040404041
1000	10	10	SAA	0.9875861889087812	0.0	-1.0
1000	10	10	S-SAA	0.9777226057943792	1.0101010101010102	-1.0
1000	10	10	NW	0.988017020621181	0.0	0.01
1000	10	10	HS-NW	0.9533713613550582	23.232323232323232	0.01
1000	10	10	NWbar	0.9314902210987961	0.0	0.6652525252525252
1000	10	10	S-NW	0.9208343743095316	7.070707070707071	1.9253535353535354
1000	10	10	SAA	0.9306939337961001	0.0	-1.0
1000	10	10	S-SAA	0.920879326080813	1.0101010101010102	-1.0
1000	10	10	NW	0.961406340504428	0.0	0.01
1000	10	10	HS-NW	0.9249318883531328	14.141414141414142	0.01
1000	10	10	NWbar	0.9184611612521779	0.0	0.6652525252525252
1000	10	10	S-NW	0.9061818462287571	5.05050505050505	0.26202020202020204
1000	10	10	SAA	0.9680222223322359	0.0	-1.0
1000	10	10	S-SAA	0.9490744049667273	1.0101010101010102	-1.0
1000	10	10	NW	1.0469057991289465	0.0	0.21161616161616162
1000	10	10	HS-NW	0.9127899618702584	4.040404040404041	0.21161616161616162
1000	10	10	NWbar	0.9439144969533287	0.0	0.5644444444444444
1000	10	10	S-NW	0.9082734740591148	4.040404040404041	2.4797979797979797
1000	10	10	SAA	0.9448884748569789	0.0	-1.0
1000	10	10	S-SAA	0.9448884748569789	0.0	-1.0
1000	10	10	NW	0.967837937399836	0.0	0.01
1000	10	10	HS-NW	0.9312349890308852	5.05050505050505	0.01
1000	10	10	NWbar	0.9298767212231587	0.0	0.6652525252525252
1000	10	10	S-NW	0.9136216195187985	5.05050505050505	0.21161616161616162
1000	10	10	SAA	0.9156552737378898	0.0	-1.0
1000	10	10	S-SAA	0.9156552737378898	0.0	-1.0
1000	10	10	NW	0.9531177144008831	0.0	0.01
1000	10	10	HS-NW	0.9090240016483848	3.0303030303030303	0.01
1000	10	10	NWbar	0.8912872319717017	0.0	0.6652525252525252
1000	10	10	S-NW	0.888981334007202	3.0303030303030303	0.21161616161616162
1000	10	10	SAA	0.9574518951676538	0.0	-1.0
1000	10	10	S-SAA	0.9574518951676538	0.0	-1.0
1000	10	10	NW	1.037252793786726	0.0	0.16121212121212122
1000	10	10	HS-NW	0.9096396772512386	3.0303030303030303	0.16121212121212122
1000	10	10	NWbar	0.9169321964063613	0.0	0.6652525252525252
1000	10	10	S-NW	0.9096396772512386	3.0303030303030303	0.16121212121212122
1000	10	10	SAA	0.9313570466319496	0.0	-1.0
1000	10	10	S-SAA	0.9313570466319496	0.0	-1.0
1000	10	10	NW	0.9593318987793761	0.0	0.01
1000	10	10	HS-NW	0.92087638335035	7.070707070707071	0.01
1000	10	10	NWbar	0.9304594468737791	0.0	0.7156565656565657
1000	10	10	S-NW	0.9037656752792921	4.040404040404041	0.31242424242424244
1000	10	10	SAA	0.9738343827437941	0.0	-1.0
1000	10	10	S-SAA	0.9450294918553415	1.0101010101010102	-1.0
1000	10	10	NW	0.9876839031250612	0.0	0.01
1000	10	10	HS-NW	0.9460978848780494	2.0202020202020203	0.01
1000	10	10	NWbar	0.9238359255940904	0.0	0.6652525252525252
1000	10	10	S-NW	0.9247286003990897	7.070707070707071	0.6148484848484849
1000	10	10	SAA	0.9577150905609044	0.0	-1.0
1000	10	10	S-SAA	0.9577150905609044	0.0	-1.0
1000	10	10	NW	0.9579284504524029	0.0	0.01
1000	10	10	HS-NW	0.9348516272298135	21.21212121212121	0.01
1000	10	10	NWbar	0.9248827682999731	0.0	0.6652525252525252
1000	10	10	S-NW	0.9120681665110623	5.05050505050505	0.11080808080808081
1000	10	10	SAA	0.9482044063456979	0.0	-1.0
1000	10	10	S-SAA	0.9388141353974793	1.0101010101010102	-1.0
1000	10	10	NW	0.9572758289290508	0.0	0.01
1000	10	10	HS-NW	0.9312363092144028	6.0606060606060606	0.01
1000	10	10	NWbar	0.9263596249678533	0.0	0.7156565656565657
1000	10	10	S-NW	0.908993702302919	3.0303030303030303	1.3709090909090909
1000	10	10	SAA	0.9758136747926716	0.0	-1.0
1000	10	10	S-SAA	0.9501130495375475	1.0101010101010102	-1.0
1000	10	10	NW	0.97496318721264	0.0	0.01
1000	10	10	HS-NW	0.9441462914857512	4.040404040404041	0.01
1000	10	10	NWbar	0.9155322268842381	0.0	0.6652525252525252
1000	10	10	S-NW	0.9084175762902037	6.0606060606060606	1.0684848484848486
1000	10	10	SAA	0.932302677718455	0.0	-1.0
1000	10	10	S-SAA	0.932302677718455	0.0	-1.0
1000	10	10	NW	0.9484297602163891	0.0	0.01
1000	10	10	HS-NW	0.9223378171298074	11.11111111111111	0.01
1000	10	10	NWbar	0.9186785553747968	0.0	0.6148484848484849
1000	10	10	S-NW	0.8998394573485105	3.0303030303030303	0.7660606060606061
1000	10	10	SAA	0.9972197741867392	0.0	-1.0
1000	10	10	S-SAA	0.9543314728516256	1.0101010101010102	-1.0
1000	10	10	NW	0.9764669446593638	0.0	0.01
1000	10	10	HS-NW	0.930872234234273	10.1010101010101	0.01
1000	10	10	NWbar	0.9248306319372337	0.0	0.6652525252525252
1000	10	10	S-NW	0.9187748891082796	6.0606060606060606	0.11080808080808081
1000	10	10	SAA	0.9338980517944178	0.0	-1.0
1000	10	10	S-SAA	0.9229968938451208	1.0101010101010102	-1.0
1000	10	10	NW	0.9579916681565749	0.0	0.01
1000	10	10	HS-NW	0.919183609169767	2.0202020202020203	0.01
1000	10	10	NWbar	0.918004698507403	0.0	0.6652525252525252
1000	10	10	S-NW	0.9090943457731685	1.0101010101010102	2.0765656565656565
1000	10	10	SAA	0.9538094411661011	0.0	-1.0
1000	10	10	S-SAA	0.9538094411661011	0.0	-1.0
1000	10	10	NW	0.9686124642045382	0.0	0.01
