K	d	N	Method	TruePerf	alpha	bandwidth
1000	10	10	S-SAA	1.0605367272706119	0.0	-1.0
1000	10	10	NW	1.2768837092158372	0.0	0.01
1000	10	10	HS-NW	1.0518753512110373	1.0101010101010102	0.01
1000	10	10	NWbar	1.0605367272706119	0.0	0.01
1000	10	10	S-NW	1.0518753512110373	1.0101010101010102	0.01
1000	10	10	SAA	1.0908472009284755	0.0	-1.0
1000	10	10	S-SAA	1.0908472009284755	0.0	-1.0
1000	10	10	NW	1.2777932779713992	0.0	0.01
1000	10	10	HS-NW	1.0803687385705683	2.0202020202020203	0.01
1000	10	10	NWbar	1.2608961723186414	0.0	0.6652525252525252
1000	10	10	S-NW	1.0736537640115702	1.0101010101010102	0.41323232323232323
1000	10	10	SAA	1.122308967782739	0.0	-1.0
1000	10	10	S-SAA	1.1200496644569762	1.0101010101010102	-1.0
1000	10	10	NW	1.3268825919829783	0.0	0.01
1000	10	10	HS-NW	1.1175728237458427	1.0101010101010102	0.01
1000	10	10	NWbar	1.543793273349179	0.0	0.7660606060606061
1000	10	10	S-NW	1.1053609298738818	1.0101010101010102	2.53020202020202
1000	10	10	SAA	1.122933368593189	0.0	-1.0
1000	10	10	S-SAA	1.111471355203166	1.0101010101010102	-1.0
1000	10	10	NW	1.3219297437918358	0.0	0.01
1000	10	10	HS-NW	1.1170579464712778	2.0202020202020203	0.01
1000	10	10	NWbar	1.255052123131813	0.0	0.6652525252525252
1000	10	10	S-NW	1.066189921094818	1.0101010101010102	0.21161616161616162
1000	10	10	SAA	1.074625455645079	0.0	-1.0
1000	10	10	S-SAA	1.074625455645079	0.0	-1.0
1000	10	10	NW	1.2845192042567264	0.0	0.01
1000	10	10	HS-NW	1.074625455645079	0.0	0.01
1000	10	10	NWbar	1.1158898831520119	0.0	0.6148484848484849
1000	10	10	S-NW	1.06021576509813	1.0101010101010102	0.060404040404040404
1000	10	10	SAA	1.1161498921524886	0.0	-1.0
1000	10	10	S-SAA	1.1005272904055536	1.0101010101010102	-1.0
1000	10	10	NW	1.3018581285044604	0.0	0.01
1000	10	10	HS-NW	1.0842837408243273	1.0101010101010102	0.01
1000	10	10	NWbar	1.1161498921524886	0.0	0.4636363636363636
1000	10	10	S-NW	1.0842837408243273	1.0101010101010102	0.01
1000	10	10	SAA	1.082207885663445	0.0	-1.0
1000	10	10	S-SAA	1.0793480828579312	1.0101010101010102	-1.0
1000	10	10	NW	1.310625157837846	0.0	0.01
1000	10	10	HS-NW	1.0665768954483967	2.0202020202020203	0.01
1000	10	10	NWbar	1.082207885663445	0.0	0.01
1000	10	10	S-NW	1.0665768954483967	2.0202020202020203	0.01
1000	10	10	SAA	1.1056733604546811	0.0	-1.0
1000	10	10	S-SAA	1.0852919959103702	1.0101010101010102	-1.0
1000	10	10	NW	1.2987524811798294	0.0	0.01
1000	10	10	HS-NW	1.0915582495880958	1.0101010101010102	0.01
1000	10	10	NWbar	1.2623959271368899	0.0	0.6652525252525252
1000	10	10	S-NW	1.0697770076673392	1.0101010101010102	3.7903030303030305
1000	10	10	SAA	1.0585563280646046	0.0	-1.0
1000	10	10	S-SAA	1.0585563280646046	0.0	-1.0
1000	10	10	NW	1.2995378375951057	0.0	0.01
1000	10	10	HS-NW	1.0585563280646046	0.0	0.01
1000	10	10	NWbar	1.0646026472318573	0.0	0.5644444444444444
1000	10	10	S-NW	1.0585563280646046	0.0	0.01
1000	10	10	SAA	1.1049393767470224	0.0	-1.0
1000	10	10	S-SAA	1.1049393767470224	0.0	-1.0
1000	10	10	NW	1.3019175199619173	0.0	0.01
1000	10	10	HS-NW	1.0937513942303168	2.0202020202020203	0.01
1000	10	10	NWbar	1.6556263083175424	0.0	0.8164646464646464
1000	10	10	S-NW	1.0937513942303168	2.0202020202020203	0.01
1000	10	10	SAA	1.0989961351430462	0.0	-1.0
1000	10	10	S-SAA	1.0989961351430462	0.0	-1.0
1000	10	10	NW	1.3058270259859783	0.0	0.01
1000	10	10	HS-NW	1.0904145781268748	2.0202020202020203	0.01
1000	10	10	NWbar	1.1248806445045112	0.0	0.6148484848484849
1000	10	10	S-NW	1.0904145781268748	2.0202020202020203	0.01
1000	10	10	SAA	1.0769270603508365	0.0	-1.0
1000	10	10	S-SAA	1.0769270603508365	0.0	-1.0
1000	10	10	NW	1.2859608357609944	0.0	0.01
1000	10	10	HS-NW	1.0769270603508365	0.0	0.01
1000	10	10	NWbar	1.088787999348709	0.0	0.5644444444444444
1000	10	10	S-NW	1.0769270603508365	0.0	0.01
1000	10	10	SAA	1.1486195021304666	0.0	-1.0
1000	10	10	S-SAA	1.1178171153865677	1.0101010101010102	-1.0
1000	10	10	NW	1.7473994633988572	0.0	0.060404040404040404
1000	10	10	HS-NW	1.1196951890595974	1.0101010101010102	0.060404040404040404
1000	10	10	NWbar	1.3798456935326597	0.0	0.7156565656565657
1000	10	10	S-NW	1.0940011467461541	2.0202020202020203	1.5725252525252524
1000	10	10	SAA	1.1177000690637504	0.0	-1.0
1000	10	10	S-SAA	1.0862177907747694	1.0101010101010102	-1.0
1000	10	10	NW	1.3024224027557672	0.0	0.01
1000	10	10	HS-NW	1.1014848117463287	2.0202020202020203	0.01
1000	10	10	NWbar	1.1177000690637504	0.0	0.01
1000	10	10	S-NW	1.0777681752830355	1.0101010101010102	0.6148484848484849
1000	10	10	SAA	1.0852845364208332	0.0	-1.0
1000	10	10	S-SAA	1.0852845364208332	0.0	-1.0
1000	10	10	NW	1.319618854585883	0.0	0.01
1000	10	10	HS-NW	1.0852845364208332	0.0	0.01
1000	10	10	NWbar	1.3853447564981234	0.0	0.7156565656565657
1000	10	10	S-NW	1.0852845364208332	0.0	0.01
1000	10	10	SAA	1.1116040702330514	0.0	-1.0
1000	10	10	S-SAA	1.0867194761319503	1.0101010101010102	-1.0
1000	10	10	NW	1.2880314807659812	0.0	0.01
1000	10	10	HS-NW	1.0880106338005748	1.0101010101010102	0.01
1000	10	10	NWbar	1.102830598964605	0.0	0.6148484848484849
1000	10	10	S-NW	1.084987523249316	1.0101010101010102	0.6148484848484849
1000	10	10	SAA	1.0822028809129411	0.0	-1.0
1000	10	10	S-SAA	1.0822028809129411	0.0	-1.0
1000	10	10	NW	1.3100912631048336	0.0	0.01
1000	10	10	HS-NW	1.0822028809129411	0.0	0.01
1000	10	10	NWbar	1.0832176824996624	0.0	0.5140404040404041
1000	10	10	S-NW	1.0822028809129411	0.0	0.01
1000	10	10	SAA	1.1584885946269023	0.0	-1.0
1000	10	10	S-SAA	1.1335612291521842	1.0101010101010102	-1.0
1000	10	10	NW	1.3096848939191845	0.0	0.01
1000	10	10	HS-NW	1.1345122029455073	3.0303030303030303	0.01
1000	10	10	NWbar	1.2665254420085739	0.0	0.6652525252525252
1000	10	10	S-NW	1.1112438216583176	1.0101010101010102	1.7237373737373738
1000	10	10	SAA	1.0582988326016471	0.0	-1.0
1000	10	10	S-SAA	1.0582988326016471	0.0	-1.0
1000	10	10	NW	1.2652312308372935	0.0	0.01
1000	10	10	HS-NW	1.04478759575126	2.0202020202020203	0.01
1000	10	10	NWbar	1.0582988326016471	0.0	0.01
1000	10	10	S-NW	1.04478759575126	2.0202020202020203	0.01
1000	10	10	SAA	1.1168664125215637	0.0	-1.0
1000	10	10	S-SAA	1.0994666016310644	1.0101010101010102	-1.0
1000	10	10	NW	1.3118008993017964	0.0	0.01
